IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
ROBERTA,267
WIEŃCZYSŁAWA,266
ALESSIA,265
LEONIDA,265
CAMILA,263
LIDIYA,263
RAFAELA,262
GERTRUD,262
ROSE,262
ECATERINA,261
PARASKIEWA,260
ESTHER,260
SUSAN,256
REBECCA,255
GRACE,255
DORA,253
FABIOLA,252
KATARINA,251
FRIDA,251
FATMA,249
LEAH,248
KONRADA,248
CYNTHIA,247
WISŁAWA,247
PAULINE,246
ELMIRA,245
SOFIE,244
KATRIN,244
KAMELIA,244
ANAT,243
MARYAM,241
ANZELMA,240
SYNTIA,240
CHANTAL,238
HENRIETA,237
ZINA,236
EDELTRAUT,236
YVONNE,236
ZOSIA,235
TAL,235
MARGARYTA,233
TEREZA,230
FLORA,227
MARYANA,226
NADJA,226
HANNELORE,225
KOLETA,223
AGATHA,222
GABRIELLE,222
IWONKA,222
ZARA,221
MARGARETE,221
KIARA,220
BIRUTA,219
NADEJDA,218
ZELMA,218
SHIRA,217
STELA,217
WITOLDA,216
RONI,216
KARLA,215
BLANCA,215
DAMIANA,215
NOELIA,214
ELIF,214
JAGIENKA,214
REBEKA,213
NATALIJA,212
MARINE,212
IEVGENIIA,211
NADEZHDA,211
DEBORAH,210
SUZANNE,210
PATRIZIA,210
VIVIANA,210
ELLI,210
JUTA,210
VIRGINIA,209
TATJANA,209
SUSANA,209
ZEYNEP,208
ALBERTA,208
STANISLAVA,208
CEZARIA,208
INESSA,207
NADIJA,206
DENISE,206
SALMA,206
DYONIZA,205
DANIELLE,205
KARINE,205
IULIA,204
MERVE,204
EMILIYA,204
SALWINA,203
THỊ,203
NATIA,203
KORYNA,203
ILIANA,203
MILLA,202
KATERINA,202
NANA,202
VIVIAN,201
STEFANIIA,201
LIDA,201
ZYGMUNTA,201
AYA,200
SIMONE,200
LIUBOU,198
NELI,198
TATYANA,197
JENNY,196
AGRYPINA,196
SUZANNA,196
TOMIRA,193
IRIS,193
INEZA,193
RAJMUNDA,192
KWIRYNA,191
NORA,191
BELLA,190
KASJANA,190
VALERIYA,190
EVELYN,190
EDITA,189
DĄBRÓWKA,189
BEATRIZ,188
MALVINA,188
SCARLETT,188
PARASKA,187
ROMINA,187
NEONILA,187
LUCIE,186
ANNA-MARIA,185
ESTER,185
VITTORIA,185
ZUZANA,184
IVANA,183
HANIA,183
ANNETTE,183
JULIETTE,182
OLESYA,180
CECILIA,179
LOLITA,179
LANA,179
SALOMEJA,179
ANNEMARIE,178
CHANEL,178
VANESA,178
IMAN,178
HEDWIG,178
ANATOLA,177
SELMA,177
BETTINA,177
IRAIDA,177
PALOMA,177
ROSEMARIE,176
JOLA,176
HERMENEGILDA,176
ALEKSA,176
LOUISE,175
TACJANA,175
KATE,175
JOSEPHINE,174
DARINA,173
HELENE,173
CLAIRE,173
KATHRIN,172
JULIETA,171
AVA,170
ŁARYSA,170
ANNIKA,170
ANNAMARIA,170
WILMA,169
KATRINA,169
PARASKEWIA,169
MARÍA,169
SYDONIA,168
BRUNHILDA,168
BERNADYNA,168
JUTTA,168
RAQUEL,167
CHRISTA,167
JULIETTA,166
KAYLA,166
ANNELIESE,165
AMBER,165
RYMMA,165
KRISTINE,165
LOLA,165
KELLY,164
YASMINE,164
WITA,163
DAIANA,163
NILA,163
HEIDI,162
ELSA,162
LILIAN,162
KHATUNA,161
YUVAL,161
DENISA,161
RUFINA,160
KIM,160
GISELA,158
KEREN,157
MATRONA,157
MERCEDES,156
SABINE,155
ALEVTYNA,155
AFRODYTA,154
KASIA,154
TAIDA,154
KHAVA,154
DOROTHEA,153
CHARLOTTA,152
ANI,152
SALOME,152
NICOLL,152
LENKA,152
CYNTIA,151
FERDYNANDA,151
ILANA,151
MIHAELA,151
JUDITH,151
CINDY,150
MARION,150
GEORGINA,149
YASMINA,149
DOMINIQUE,149
FEBRONIA,149
ŻAKLIN,149
TEA,148
PRZEMYSŁAWA,148
KATJA,148
MAURA,148
BRIGITTE,148
LEOPOLDYNA,148
HENRIETTA,148
MARGERITA,147
NANCY,147
RADZISŁAWA,146
BEATRICE,146
VIYALETA,146
FABIANA,146
NONNA,146
ANDŻELA,146
LÉA,146
STEFANIE,146
SYLWANA,145
ELLEN,145
KATIE,145
VIORICA,145
LETICIA,145
SOFYA,145
LIUBA,144
WIWIANA,143
TEONA,143
EVGENIIA,143
ZARINA,143
JUSTINE,143
MAKSYMILIANA,143
ANN,142
XENIA,142
SYBILA,142
BOZHENA,141
ALWINA,141
EUSTACHIA,141
ADELHEID,141
ASHLEY,141
LAUREN,141
ANŻELIKA,140
FERNANDA,139
LORETTA,139
HILA,139
SEDA,138
NONA,138
BEATRYCZE,137
MATHILDE,137
ZUZA,136
RENISŁAWA,136
KORA,136
WITOSŁAWA,135
JANKA,135
KAMA,135
DANIELLA,135
GERARDA,134
CARINA,134
GABRIELE,134
OLESEA,134
NOGA,134
KARALINA,134
TANIA,134
ESRA,134
MARISA,133
TELIMENA,133
LIJA,133
REHINA,133
LILLIAN,133
KAIA,132
META,132
ANNABELLE,132
CAMILLE,132
BIBIANA,131
AMIT,131
VASILISA,131
FLORIANA,131
FIONA,131
LIAT,130
LIUBOMYRA,130
AYLIN,130
ADELAIDA,130
ARETA,130
ASIA,130
EMILIANA,130
MOLLY,129
ANAHIT,129
NARINE,129
PIA,129
NIKITA,128
MADELEINE,128
EUGIENIA,128
MALENA,128
TARSYLIA,128
RODICA,127
ARKADIA,127
RENATE,127
ALEXIA,127
ANASTASIJA,127
LUSINE,127
ALIA,126
VIOLA,126
STEPANIIA,126
VANDA,126
OFELIA,126
XYMENA,126
GAYANE,126
ANZHALIKA,125
ZYGRYDA,125
AYŞE,125
WALDEMARA,125
ARIA,124
MINA,124
TACJANNA,124
LEONIE,124
EUDOKSJA,123
BERNARDETTA,123
MARGITA,123
KETEVAN,123
DAROMIŁA,123
YELENA,123
MILADA,122
GAL,122
ROMANIA,122
ROSWITA,122
JULIJA,121
ROSANNA,121
MONA,121
SUZANA,121
AGAFIA,121
INGE,121
WŁODZISŁAWA,120
FLORENCIA,120
JANET,120
ISABELL,120
KIMBERLY,120
TIFFANY,120
LADA,119
FLAVIA,119
BEATE,119
DAMARIS,119
AYLA,119
ORYNA,119
ELIDIA,118
KHEDA,118
MIROSLAVA,118
MIJA,117
ITA,117
SIGRID,117
IWA,117
LILIT,117
MARIANNE,117
NETA,117
DOMICELLA,116
DALILA,116
EVGENIYA,116
BRENDA,115
SHIR,115
IGNACJA,115
TARA,115
MICAELA,115
CASSANDRA,115
OŁENA,115
JEANETTE,114
ROTEM,114
KORINA,114
RIMA,114
SHANI,113
FARIDA,113
MARYSIA,113
EKATERINE,113
DOROTHY,113
ZENAJDA,112
LELA,112
